,recipe_id,recipe_name,average_rating,stars_shown,votes,difficulty,preparation_time,date,link,has_picture
49,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838361584880970/Gefuellte-Pilze.html,no
50,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838351584880216/Primadonna.html,no
51,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838341584880200/Spaghetti-Gemuesepfanne-mit-Pesto.html,no
52,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838321584879696/Vegane-Spargel-Spinat-Champignon-Lasagne.html,no
53,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838301584878413/Fischsuppe-im-Wok-auf-dem-Grill-zubereitet.html,no
54,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838281584875848/Meeresfruechte-Risotto-mit-Kabeljau-und-Riesengarnelen.html,no
55,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838271584875033/Lime-Curd-Cake.html,no
56,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838261584873519/Suppenbruehe.html,no
57,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838241584871238/Moehrensalat-mit-wuerzigen-Kichererbsen-und-Hummus.html,no
58,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838221584870168/Pikante-Hackfleischsauce-a-la-Annlaise.html,no
59,,,,,,,,,httpss://www.chefkoch.de/rezepte/3838161584825666/Pasta-mit-Kalbsleber-in-Portwein-Balsamico-Sauce.html,no
60,,,,,,,,,httpss://www.chefkoch.de/rezepte/3857731587373013/Bouillabaisse-mit-Rouille.html,no
61,,,,,,,,,httpss://www.chefkoch.de/rezepte/3857791587375421/Hefeeis-Creme-Mandeln-und-Pflaumen.html,no
62,,,,,,,,,httpss://www.chefkoch.de/rezepte/3857751587374083/Ochsenbaeckchen-mit-Gremolata-und-Selleriepueree.html,no
63,,,,,,,,,httpss://www.chefkoch.de/rezepte/3858441587463398/Ballotine-vom-Perlhuhn-mit-Morchelrahm-und-Brezen.html,no
64,,,,,,,,,httpss://www.chefkoch.de/rezepte/3858451587465062/Skrei-mit-Lachsfarce-im-Wirsingblatt-Kartoffelpueree-aus-blauen-Kartoffeln-mit-Safransosse.html,no
65,,,,,,,,,httpss://www.chefkoch.de/rezepte/3858471587466240/Blaetterteig-Apfeltarte-mit-Karamell-Royale-und-Calvados-Sabayon.html,no
66,,,,,,,,,httpss://www.chefkoch.de/rezepte/3858961587547657/Pulpo.html,no
67,,,,,,,,,httpss://www.chefkoch.de/rezepte/3858971587548454/Surf-and-Turf.html,no
68,,,,,,,,,httpss://www.chefkoch.de/rezepte/3839111584967539/STAMPEDE-Medovik-Torte-mit-Safranueberguss-Medovik-Cake-with-Saffron-Pouring.html,no
69,,,,,,,,,httpss://www.chefkoch.de/rezepte/3860251587739034/Gyrospizza.html,no
